 Quarter , Client , New Client , Campaign , Channel , Client + Campaign + Channel , Campaign Budget , KPI Goal , KPI Type , KPI Target Value , CPM ,Impressions, Planned Campaign Reach , Maximum Reach to Maintain Performance , % of Maximum Campaign Reach Expected to Be Utilized , Signal Utilization (to total signals available) , Frequency , Last Updated , Note ,Enterprise?, Acct_ID ,COMMENTS, CLIENT_CODE , SUBACCOUNT , CAMPAIGN_TYPE , REMARKS 
Q2 2026,Fortunoff,Fortunoff,,Email,Fortunoff Email," $1,70,000 ",iROAS $5,iROAS,$5, $10.00 ,17000000," 56,66,667 "," 1,88,88,889 ",,30%, 3 ,20-05-2026,,,12289,,,NA,,2: MANUAL ACCOUNTS
Q2 2026 ,Frontier,Frontier,,Email,Frontier Email," $12,79,611 ",CPIC $250,CPIx,$250, $8.50 ,"150,542,479 "," 79,23,288 "," 1,00,00,000 ",,100%, 14 ,20-05-2026,,,9810,,FRONTIER,CORE,EMAIL,
Q2 2026 ,Kinetic,Kinetic,,Email+LI,Kinetic Email+LI," $1,79,982 ",CPIGA <$200,CPIx,$200, $11.43 ,15746457," 16,36,190 "," 16,36,190 ",,100%, 10 ,20-05-2026,,,23,,KINETIC,CORE,INBOX_AD,
Q2 2026,Lovesac,Lovesac,,Email,Lovesac Email," $1,91,381 ",CPIA - $400,CPIx,$400, $10.00 ,19138083,"75,00,000","2,14,28,571",,35%, 3 ,20-05-2026,,,8823,,LOVESAC,CORE,EMAIL,
Q2 2026,Maaco,Maaco,,Email,Maaco Email," $75,000 ",,,, $10.00 ,7500000," 30,21,566 "," 75,53,915 ",,40%, 3 ,20-05-2026,,,,,,NA,,2: MANUAL ACCOUNTS
Q2 2026 ,Mediacom,Mediacom,,Email,Mediacom Email," $4,51,000 ",CPIC $600,CPIC,$600, $10.00 ,45100000," 64,42,857 "," 64,42,857 ",,100%, 7 ,03-06-2026,,,6614,,MEDIACOM,CORE,EMAIL,
Q2 2026 ,Mediacom,Mediacom,,LiveIntent,Mediacom LiveIntent," $1,01,000 ",CPIC $600,CPIx,$600, $3.00 ,33666666," 21,04,167 "," 21,04,167 ",,100%, 16 ,03-06-2026,"The budget & Impressions mentioned is only of January, remaining months budget is yet to receive",,6614,,MEDIACOM,CORE,LI,
Q2 2026,MGM Resorts,MGM Resorts,,LiveIntent,MGM Resorts LiveIntent," $1,00,000 ",CPA$50,CPA,$50,,,,,,,,20-05-2026,,,,Live intent only campaign,,NA,,2: MANUAL ACCOUNTS
Q2 2026,Motosport  ,Motosport  ,,Email,Motosport   Email," $70,000 ",iROAS - $5.00 ,iROAS,$5, $7.00 ," 1,00,00,000 "," 37,58,369 "," 1,87,91,845 ",,20%, 3 ,20-05-2026,,,3,,MOTOSPORT,CORE,EMAIL,
Q2 2026,Nothing Bundt Cakes,Nothing Bundt Cakes,,Email + LI,Nothing Bundt Cakes Email + LI," $2,88,654 ",IROAS $5,iROAS,$5, $7.50 ,28865433,"1,09,02,413","1,29,79,063", ,84%, 3 ,20-05-2026,,,,,,NA,,2: MANUAL ACCOUNTS
Q2 2026,PepBoys,PepBoys,Acquisition,Email,PepBoys Acquisition Email," $6,50,000 ",CPIC $100,CPIC,$100, $10.00 ,65000000,"2,16,66,667","5,41,66,667", ,40%, 3 ,20-05-2026,,,10025,,PEP_BOYS,CORE,EMAIL,
Q2 2026 ,PRG Leasing BAU,Progressive Leasing,BAU,Email+LI,Progressive Leasing BAU Email+LI," $2,00,025 ",$14 iROAS,iROAS,$14, $10.00 ,17500000," 58,32,604 "," 2,50,00,000 ",,50%, 3 ,20-05-2026,,,25,,,NA,,2: MANUAL ACCOUNTS
 Q2 2026 ,Progressive Core,Progressive,Core,Email ,Progressive Core Email ," $2,56,81,453 ",CPIC $100,CPIx,$100, $5.00 ,81263627,18910733,18910733,,100%, 4 ,20-05-2026,,,6545,,,NA,,2: MANUAL ACCOUNTS
Q2 2026,Progressive Leasing - Best Buy,Progressive Leasing,Best Buy,Email+LI,Progressive Leasing Best Buy Email+LI," $1,20,084 ",CPIC $63,CPIx,$26, $11.43 ,10506036.75," 35,02,012 "," 77,82,249 ",,45%, 3 ,20-05-2026,,,,,,NA,,2: MANUAL ACCOUNTS
Q2 2026,RAC,RAC,,Email,RAC Email," $2,15,000 ",CPIL $80,CPIL,$80, $10.00 ,21500000,"71,66,667","6,20,00,000", ,25%, 3 ,20-05-2026,,,8322,,RAC,CORE,EMAIL,
Q2 2026 ,Raymour & Flanigan,Raymour & Flanigan,,Email,Raymour & Flanigan Email," $9,05,980 ",$32 iROAS,iROAS,$32, $10.00 ,90598000,"1,99,70,992","2,50,00,000", ,75%, 5 ,20-05-2026,,,6373,,RAYMOUR,CORE,EMAIL,
Q2 2026,Spectrum,Spectrum,,Email,Spectrum Email," $5,25,000 ",CPIC $40,CPIx,$40, $8.00 ,65625000," 1,31,25,000 "," 1,85,00,000 ",,70%, 5 ,03-06-2026,,,6201,,,NA,,2: MANUAL ACCOUNTS
Q2 2026,Stitch Fix Acqusition,Stitch Fix,,Email+LI,Stitch Fix Email+LI," $4,50,000 ",CAC - $150,CPIx,$150, $8.00 ,56250000," 1,65,00,000 "," 2,35,71,429 ",,70%, 3 ,20-05-2026,,,21,,STITCHFIX,CORE,INBOX_AD,
Q2 2026,Stitch Fix Reactivation,Stitch Fix,,Email+LI,Stitch Fix Email+LI," $1,80,000 ",CAC - $150,CPIx,$150, $8.00 ,22500000," 66,00,000 "," 66,00,000 ",,100%, 3 ,20-05-2026,,,21,,STITCHFIX,NA,,1: SUB_ACCOUNT MISSING
Q2 2026,T - Mobile Assurance,T-Mobile,Core,Email,T-Mobile Core Email," $3,29,860 ",CPIA  $25-$50,CPIx,$50, $6.00 ,54976667,13744167,13700000,,100%, 4 ,20-05-2026,,,7545,,ASSURANCE,WINBACK,EMAIL,
Q2 2026,T - Mobile Assurance,T-Mobile,Winback,Email,T-Mobile Winback Email," $10,140 ",CPIA  $25-$50,CPIx,$50, $6.00 ,1690000,169000,169000,,100%, 10 ,,,,,,ASSURANCE,CORE,EMAIL,
Q2 2026 ,T-Mobile Core,T-Mobile,Core,Email,T-Mobile Core Email," $2,07,82,354 ",CPIGA $300,CPIC,$300, $6.00 ,3353999998," 19,60,00,000 "," 19,00,00,000 ",,100%, 12 ,20-05-2026,,,7252,,TMOBILE,CORE,EMAIL,
Q2 2026 ,,T-Mobile,For Business,Email,T-Mobile For Business Email," $2,00,000 ",CPIGA $92,CPIx,$92, $6.00 ,33333335,"37,10,689","75,00,000", ,100%, 4 ,20-05-2026,,,12656,,TMOBILE,NA,,1: SUB_ACCOUNT MISSING
